id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-01-25 11:17:55.775981,,,,,,f,,3TEM0PF1Q5X4T2U5NI6MOOM3E6L0DQ,AssignmentAccepted
2,2018-01-25 12:18:10.82442,,,,,,f,,3TEM0PF1Q5X4T2U5NI6MOOM3E6L0DQ,AssignmentAbandoned
3,2018-01-25 12:18:12.300122,,,,,,f,,3TEM0PF1Q5X4T2U5NI6MOOM3E6L0DQ,AssignmentAbandoned
4,2018-01-25 12:18:13.735631,,,,,,f,,3TEM0PF1Q5X4T2U5NI6MOOM3E6L0DQ,AssignmentAbandoned
5,2018-01-25 12:18:44.097723,,,,,,f,,374TNBHA8BVVF6UV0CNFGFNM9YOYQT,AssignmentAccepted
6,2018-01-25 12:36:14.638102,,,,,,f,,374TNBHA8BVVF6UV0CNFGFNM9YOYQT,AssignmentSubmitted
7,2018-01-25 12:36:19.096665,,,,,,f,,37W3JXSD6680Z3QHCLML8458XZ5YWX,AssignmentAccepted
8,2018-01-25 12:46:31.370833,,,,,,f,,37W3JXSD6680Z3QHCLML8458XZ5YWX,AssignmentSubmitted
9,2018-01-25 12:46:39.937374,,,,,,f,,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,AssignmentAccepted
10,2018-01-25 13:27:42.108934,,,,,,f,,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,AssignmentReturned
11,2018-01-25 13:27:55.913113,,,,,,f,,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,AssignmentAccepted
12,2018-01-25 13:59:52.916636,,,,,,f,,3C8HJ7UOP7U4ZH6845IHDDCJ5RVZMY,AssignmentSubmitted
13,2018-01-25 14:00:02.188815,,,,,,f,,34FNN24DCM96MKBXGKZCI4SVD2F5Y1,AssignmentAccepted
14,2018-01-25 14:05:22.50134,,,,,,f,,34FNN24DCM96MKBXGKZCI4SVD2F5Y1,AssignmentSubmitted
